motif_id,motif,weight_mean,weight_std,raw_lift_mean,raw_lift_std,count_mean,count_std,appearance_rate_top16,positive_weight_rate
0,"(0,0,0)",nan,nan,nan,nan,nan,nan,0.0,nan
1,"(0,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
2,"(0,0,-)",nan,nan,nan,nan,nan,nan,0.0,nan
3,"(0,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
4,"(0,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
5,"(0,+,+)",nan,nan,nan,nan,nan,nan,0.0,nan
6,"(0,+,-)",0.8316346054437619,0.00851058546403438,0.14292075773608745,0.0016495395805428293,15688.75,590.0152010753621,1.0,1.0
7,"(0,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
8,"(0,-,0)",-0.7575101144720185,0.005705026256052979,-0.12846366953874364,0.000887462087777316,97678.0,4707.990309038454,1.0,0.0
9,"(0,-,+)",nan,nan,nan,nan,nan,nan,0.0,nan
10,"(0,-,-)",0.7674825782399347,0.0038807596142526727,0.13093551450544416,0.0009018617665094819,29242.5,1184.3929879900506,1.0,1.0
11,"(0,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
12,"(0,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
13,"(0,~,+)",nan,nan,nan,nan,nan,nan,0.0,nan
14,"(0,~,-)",nan,nan,nan,nan,nan,nan,0.0,nan
15,"(0,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
16,"(+,0,0)",nan,nan,nan,nan,nan,nan,0.0,nan
17,"(+,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
18,"(+,0,-)",0.7680554066688942,0.007221541714622758,0.1310831460895356,0.0010907340458434472,27918.625,1075.9356320779602,1.0,1.0
19,"(+,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
20,"(+,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
21,"(+,+,+)",0.6908396714046373,0.003438382184125459,0.12028889207402053,0.0010006082611699375,8906.75,322.59523787557686,0.5,1.0
22,"(+,+,-)",1.0,0.0,0.1735531154504407,0.0007752079960681882,9630.25,375.6194051164024,1.0,1.0
23,"(+,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
24,"(+,-,0)",nan,nan,nan,nan,nan,nan,0.0,nan
25,"(+,-,+)",0.8125074910402869,0.00591160160984957,0.13945523355566566,0.0008309137798663075,17046.75,583.8648709247715,1.0,1.0
26,"(+,-,-)",0.9894494349451661,0.004848653753642657,0.16972585211006405,0.0008000312282042335,17773.0,622.1936997430945,1.0,1.0
27,"(+,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
28,"(+,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
29,"(+,~,+)",nan,nan,nan,nan,nan,nan,0.0,nan
30,"(+,~,-)",0.8539741279367087,0.004306932741385409,0.14881297495966792,0.0009332501540208442,8298.5,341.8208595156241,1.0,1.0
31,"(+,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
32,"(-,0,0)",-0.7075841337281309,0.00632823065659242,-0.12022656525222532,0.0007385558620344302,55660.5,2529.8665478637404,1.0,0.0
33,"(-,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
34,"(-,0,-)",nan,nan,nan,nan,nan,nan,0.0,nan
35,"(-,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
36,"(-,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
37,"(-,+,+)",0.7028489596024873,0.003768974427237238,0.12242418218932971,0.0008517920664947876,8428.0,374.7819365978035,1.0,1.0
38,"(-,+,-)",0.9785760607192606,0.004810338083365335,0.16994025110316904,0.0009070129390708279,9401.875,419.6145366583479,1.0,1.0
39,"(-,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
40,"(-,-,0)",nan,nan,nan,nan,nan,nan,0.0,nan
41,"(-,-,+)",0.6950852851615971,0.002113545775626539,0.11930264049456768,0.0004765921822160466,15747.5,564.3866139447321,0.5,1.0
42,"(-,-,-)",0.8466817321647371,0.007251573280528076,0.14543071377119485,0.0013522127974715963,16224.25,661.6422277182737,1.0,1.0
43,"(-,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
44,"(-,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
45,"(-,~,+)",nan,nan,nan,nan,nan,nan,0.0,nan
46,"(-,~,-)",0.7556116665319007,0.005541025881756927,0.13196659604252348,0.001172870930767497,7711.375,313.26623561277717,1.0,1.0
47,"(-,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
48,"(~,0,0)",nan,nan,nan,nan,nan,nan,0.0,nan
49,"(~,0,+)",nan,nan,nan,nan,nan,nan,0.0,nan
50,"(~,0,-)",nan,nan,nan,nan,nan,nan,0.0,nan
51,"(~,0,~)",nan,nan,nan,nan,nan,nan,0.0,nan
52,"(~,+,0)",nan,nan,nan,nan,nan,nan,0.0,nan
53,"(~,+,+)",nan,nan,nan,nan,nan,nan,0.0,nan
54,"(~,+,-)",0.8620031571209421,0.0052538056860825235,0.15333786986311007,0.0010249693686656875,4851.875,205.64802302721026,1.0,1.0
55,"(~,+,~)",nan,nan,nan,nan,nan,nan,0.0,nan
56,"(~,-,0)",nan,nan,nan,nan,nan,nan,0.0,nan
57,"(~,-,+)",nan,nan,nan,nan,nan,nan,0.0,nan
58,"(~,-,-)",0.7936538140850941,0.0036467756718890645,0.13768073632445574,0.0007758118136189463,9799.125,397.63627774009757,1.0,1.0
59,"(~,-,~)",nan,nan,nan,nan,nan,nan,0.0,nan
60,"(~,~,0)",nan,nan,nan,nan,nan,nan,0.0,nan
61,"(~,~,+)",nan,nan,nan,nan,nan,nan,0.0,nan
62,"(~,~,-)",nan,nan,nan,nan,nan,nan,0.0,nan
63,"(~,~,~)",nan,nan,nan,nan,nan,nan,0.0,nan
